race number,Year,grand_prix,team,driver_number,constructor,car,engine_type,tyre,grid_position,race_position,event
1,2007,Australia,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,4,3,
2,2007,Malaysia,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,4,2,
3,2007,Bahrain,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,2,2,
4,2007,Spain,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,4,2,
5,2007,Monaco,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,2,2,
6,2007,Canada,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,1,1,
7,2007,USA,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,1,1,
8,2007,France,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,2,3,
9,2007,Britain,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,1,3,
10,2007,Europe,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,10,9,
11,2007,Hungary,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,1,1,
12,2007,Turkey,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,2,5,
13,2007,Italy,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,2,2,
14,2007,Belgium,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,4,4,
15,2007,Japan,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,1,1,
16,2007,China,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,1,ab,Handling
17,2007,Brazil,Vodafone McLaren Mercedes,2,McLaren,MP4-22,Mercedes V8,Bridgestone,2,7,
18,2008,Australia,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,1,1,
19,2008,Malaysia,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,9,5,
20,2008,Bahrain,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,3,13,
21,2008,Spain,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,5,3,
22,2008,Turkey,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,3,2,
23,2008,Monaco,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,3,1,
24,2008,Canada,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,1,ab,Collision
25,2008,France,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,13,10,
26,2008,Britain,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,4,1,
27,2008,Germany,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,1,1,
28,2008,Hungary,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,1,5,
29,2008,Europe,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,2,2,
30,2008,Belgium,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,1,3,25s penalty
31,2008,Italy,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,15,7,
32,2008,Singapore,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,2,3,
33,2008,Japan,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,1,12,
34,2008,China,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,1,1,
35,2008,Brazil,Vodafone McLaren Mercedes,22,McLaren,MP4-23,Mercedes V8,Bridgestone,4,5,
36,2009,Australia,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,18,dsq,Lies to the marshals
37,2009,Malaysia,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,12,7,
38,2009,China,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,9,6,
39,2009,Bahrain,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,5,4,
40,2009,Spain,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,14,9,
41,2009,Monaco,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,19,12,
42,2009,Turkey,Vodafone McLaren Mercedes,1,McLaren,MP4-24,Mercedes V8,Bridgestone,16,13,
